"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"15168",187.378472222222,2.62,11.77,2.62,11.77,2.62,11.77
"15169",187.381944444444,2.41,10.13,2.41,10.13,2.41,10.13
"15170",187.385416666667,2.52,11.3,2.52,11.3,2.52,11.3
"15171",187.388888888889,2.29,10.28,2.29,10.28,2.29,10.28
"15172",187.392361111111,2.47,10.38,2.47,10.38,2.47,10.38
"15173",187.395833333333,2.48,10.47,2.48,10.47,2.48,10.47
"15174",187.399305555556,2.35,10.37,2.35,10.37,2.35,10.37
"15175",187.402777777778,2.4,10.53,2.4,10.53,2.4,10.53
"15176",187.40625,2.51,10.53,2.51,10.53,2.51,10.53
"15177",187.409722222222,2.55,10.24,2.55,10.24,2.55,10.24
"15178",187.413194444444,2.49,10.65,2.49,10.65,2.49,10.65
"15179",187.416666666667,NA,NA,2.54825602844559,10.2807862393434,2.31535432881355,10.3592390400189
"15180",187.420138888889,2.53,10.11,2.53,10.11,2.53,10.11
"15181",187.423611111111,2.68,10.84,2.68,10.84,2.68,10.84
"15182",187.427083333333,2.59,9.41,2.59,9.41,2.59,9.41
"15183",187.430555555556,2.5,9.68,2.5,9.68,2.5,9.68
"15184",187.434027777778,2.49,9.87,2.49,9.87,2.49,9.87
"15185",187.4375,2.54,10.03,2.54,10.03,2.54,10.03
"15186",187.440972222222,2.43,10.47,2.43,10.47,2.43,10.47
"15187",187.444444444444,2.47,10.27,2.47,10.27,2.47,10.27
"15188",187.447916666667,2.64,10.39,2.64,10.39,2.64,10.39
"15189",187.451388888889,NA,10.18,2.58360494007909,10.18,2.61363706071018,10.18
"15190",187.454861111111,2.68,9.79,2.68,9.79,2.68,9.79
"15191",187.458333333333,2.68,9.92,2.68,9.92,2.68,9.92
"15192",187.461805555556,2.85,10.13,2.85,10.13,2.85,10.13
"15193",187.465277777778,2.69,10.07,2.69,10.07,2.69,10.07
"15194",187.46875,2.66,9.96,2.66,9.96,2.66,9.96
"15195",187.472222222222,2.85,9.59,2.85,9.59,2.85,9.59
"15196",187.475694444444,2.91,9.85,2.91,9.85,2.91,9.85
"15197",187.479166666667,2.86,10.23,2.86,10.23,2.86,10.23
"15198",187.482638888889,3.07,10.3,3.07,10.3,3.07,10.3
"15199",187.486111111111,4.13,10.78,4.13,10.78,4.13,10.78
"15200",187.489583333333,2.81,10.23,2.81,10.23,2.81,10.23
"15201",187.493055555556,2.89,9.1,2.89,9.1,2.89,9.1
"15202",187.496527777778,3.03,10.59,3.03,10.59,3.03,10.59
"15203",187.5,2.89,9.98,2.89,9.98,2.89,9.98
"15204",187.503472222222,2.84,10.13,2.84,10.13,2.84,10.13
"15205",187.506944444444,3.03,9.93,3.03,9.93,3.03,9.93
"15206",187.510416666667,2.79,10.12,2.79,10.12,2.79,10.12
"15207",187.513888888889,2.9,9.96,2.9,9.96,2.9,9.96
"15208",187.517361111111,2.87,10.3,2.87,10.3,2.87,10.3
"15209",187.520833333333,2.87,10.46,2.87,10.46,2.87,10.46
"15210",187.524305555556,2.79,9.88,2.79,9.88,2.79,9.88
"15211",187.527777777778,2.84,10.37,2.84,10.37,2.84,10.37
"15212",187.53125,2.87,8.91,2.87,8.91,2.87,8.91
"15213",187.534722222222,2.5,8.99,2.5,8.99,2.5,8.99
"15214",187.538194444444,2.74,10.07,2.74,10.07,2.74,10.07
"15215",187.541666666667,2.96,9.35,2.96,9.35,2.96,9.35
"15216",187.545138888889,2.59,9.29,2.59,9.29,2.59,9.29
"15217",187.548611111111,2.62,9.97,2.62,9.97,2.62,9.97
"15218",187.552083333333,2.8,10.17,2.8,10.17,2.8,10.17
"15219",187.555555555556,2.75,9.57,2.75,9.57,2.75,9.57
"15220",187.559027777778,2.81,9.41,2.81,9.41,2.81,9.41
"15221",187.5625,2.63,8.22,2.63,8.22,2.63,8.22
"15222",187.565972222222,2.61,9.3,2.61,9.3,2.61,9.3
"15223",187.569444444444,2.66,9.89,2.66,9.89,2.66,9.89
"15224",187.572916666667,2.67,8.76,2.67,8.76,2.67,8.76
"15225",187.576388888889,2.64,9.58,2.64,9.58,2.64,9.58
"15226",187.579861111111,2.35,8.56,2.35,8.56,2.35,8.56
"15227",187.583333333333,2.67,9.14,2.67,9.14,2.67,9.14
"15228",187.586805555556,2.01,8.74,2.01,8.74,2.01,8.74
"15229",187.590277777778,2.56,8.91,2.56,8.91,2.56,8.91
"15230",187.59375,2.33,9.56,2.33,9.56,2.33,9.56
"15231",187.597222222222,2.61,8.96,2.61,8.96,2.61,8.96
"15232",187.600694444444,2.33,9.87,2.33,9.87,2.33,9.87
"15233",187.604166666667,2.62,9.45,2.62,9.45,2.62,9.45
"15234",187.607638888889,2.41,8.49,2.41,8.49,2.41,8.49
"15235",187.611111111111,2.5,8.12,2.5,8.12,2.5,8.12
"15236",187.614583333333,2.38,9.04,2.38,9.04,2.38,9.04
"15237",187.618055555556,2.43,8.49,2.43,8.49,2.43,8.49
"15238",187.621527777778,2.43,8.67,2.43,8.67,2.43,8.67
"15239",187.625,2.58,8.6,2.58,8.6,2.58,8.6
"15240",187.628472222222,2.4,8.36,2.4,8.36,2.4,8.36
"15241",187.631944444444,2.36,8.94,2.36,8.94,2.36,8.94
"15242",187.635416666667,2.44,8.69,2.44,8.69,2.44,8.69
"15243",187.638888888889,NA,8.98,2.43210739407246,8.98,2.88801508241413,8.98
"15244",187.642361111111,2.61,9.13,2.61,9.13,2.61,9.13
"15245",187.645833333333,2.71,9.08,2.71,9.08,2.71,9.08
"15246",187.649305555556,2.47,8.54,2.47,8.54,2.47,8.54
"15247",187.652777777778,2.65,8.19,2.65,8.19,2.65,8.19
"15248",187.65625,2.55,9.03,2.55,9.03,2.55,9.03
"15249",187.659722222222,2.35,9.42,2.35,9.42,2.35,9.42
"15250",187.663194444444,2.4,9.16,2.4,9.16,2.4,9.16
"15251",187.666666666667,2.7,9.42,2.7,9.42,2.7,9.42
"15252",187.670138888889,2.68,8.74,2.68,8.74,2.68,8.74
"15253",187.673611111111,2.5,9.01,2.5,9.01,2.5,9.01
"15254",187.677083333333,2.65,8.59,2.65,8.59,2.65,8.59
"15255",187.680555555556,2.21,10.25,2.21,10.25,2.21,10.25
"15256",187.684027777778,2.75,9.18,2.75,9.18,2.75,9.18
"15257",187.6875,2.58,9.62,2.58,9.62,2.58,9.62
"15258",187.690972222222,2.8,9.86,2.8,9.86,2.8,9.86
"15259",187.694444444444,2.42,9.14,2.42,9.14,2.42,9.14
"15260",187.697916666667,2.93,10,2.93,10,2.93,10
"15261",187.701388888889,2.6,9.03,2.6,9.03,2.6,9.03
"15262",187.704861111111,2.73,10.63,2.73,10.63,2.73,10.63
"15263",187.708333333333,2.69,8.82,2.69,8.82,2.69,8.82
"15264",187.711805555556,2.94,9.95,2.94,9.95,2.94,9.95
