"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"1",136,1,10.4,1,10.4,1,10.4
"2",136.003472222222,1,10.4,1,10.4,1,10.4
"3",136.006944444444,1.1,10,1.1,10,1.1,10
"4",136.010416666667,1.1,11,1.1,11,1.1,11
"5",136.013888888889,1.1,11.1,1.1,11.1,1.1,11.1
"6",136.017361111111,1,9.7,1,9.7,1,9.7
"7",136.020833333333,1.1,10.2,1.1,10.2,1.1,10.2
"8",136.024305555556,1,10.2,1,10.2,1,10.2
"9",136.027777777778,1,9.8,1,9.8,1,9.8
"10",136.03125,0.9,10.7,0.9,10.7,0.9,10.7
"11",136.034722222222,1.1,9.6,1.1,9.6,1.1,9.6
"12",136.038194444444,0.9,11.3,0.9,11.3,0.9,11.3
"13",136.041666666667,1,10,1,10,1,10
"14",136.045138888889,1.1,10.9,1.1,10.9,1.1,10.9
"15",136.048611111111,1,10.5,1,10.5,1,10.5
"16",136.052083333333,1.1,11.1,1.1,11.1,1.1,11.1
"17",136.055555555556,1.1,10,1.1,10,1.1,10
"18",136.059027777778,1.1,11.1,1.1,11.1,1.1,11.1
"19",136.0625,1,11.2,1,11.2,1,11.2
"20",136.065972222222,1.1,10.9,1.1,10.9,1.1,10.9
"21",136.069444444444,0.9,10.6,0.9,10.6,0.9,10.6
"22",136.072916666667,1.4,11.5,1.4,11.5,1.4,11.5
"23",136.076388888889,0.9,10.7,0.9,10.7,0.9,10.7
"24",136.079861111111,1.2,11.1,1.2,11.1,1.2,11.1
"25",136.083333333333,2,11.6,2,11.6,2,11.6
"26",136.086805555556,1,11.5,1,11.5,1,11.5
"27",136.090277777778,1,11,1,11,1,11
"28",136.09375,1.2,10.7,1.2,10.7,1.2,10.7
"29",136.097222222222,1.1,10.6,1.1,10.6,1.1,10.6
"30",136.100694444444,1,10.2,1,10.2,1,10.2
"31",136.104166666667,1.1,12.1,1.1,12.1,1.1,12.1
"32",136.107638888889,1.3,10.8,1.3,10.8,1.3,10.8
"33",136.111111111111,1.2,11.7,1.2,11.7,1.2,11.7
"34",136.114583333333,1.2,10.2,1.2,10.2,1.2,10.2
"35",136.118055555556,1.6,11.7,1.6,11.7,1.6,11.7
"36",136.121527777778,1.2,10.9,1.2,10.9,1.2,10.9
"37",136.125,1,11.3,1,11.3,1,11.3
"38",136.128472222222,1.5,11,1.5,11,1.5,11
"39",136.131944444444,1.5,11.9,1.5,11.9,1.5,11.9
"40",136.135416666667,1.7,11.1,1.7,11.1,1.7,11.1
"41",136.138888888889,2,11.6,2,11.6,2,11.6
"42",136.142361111111,1.7,12.6,1.7,12.6,1.7,12.6
"43",136.145833333333,1.2,12,1.2,12,1.2,12
"44",136.149305555556,2.1,11.5,2.1,11.5,2.1,11.5
"45",136.152777777778,1.9,10.8,1.9,10.8,1.9,10.8
"46",136.15625,1.4,11.7,1.4,11.7,1.4,11.7
"47",136.159722222222,1.7,11,1.7,11,1.7,11
"48",136.163194444444,1.1,11.4,1.1,11.4,1.1,11.4
"49",136.166666666667,1.3,12.3,1.3,12.3,1.3,12.3
"50",136.170138888889,1.4,12,1.4,12,1.4,12
"51",136.173611111111,1.5,11.4,1.5,11.4,1.5,11.4
"52",136.177083333333,1.3,20.6,1.3,20.6,1.3,20.6
"53",136.180555555556,1.3,11.6,1.3,11.6,1.3,11.6
"54",136.184027777778,1.1,11.8,1.1,11.8,1.1,11.8
"55",136.1875,1.1,11.6,1.1,11.6,1.1,11.6
"56",136.190972222222,1,11.8,1,11.8,1,11.8
"57",136.194444444444,1.2,10.5,1.2,10.5,1.2,10.5
"58",136.197916666667,1.3,11.8,1.3,11.8,1.3,11.8
"59",136.201388888889,1.1,11.8,1.1,11.8,1.1,11.8
"60",136.204861111111,1.2,12.8,1.2,12.8,1.2,12.8
"61",136.208333333333,1.4,12.3,1.4,12.3,1.4,12.3
"62",136.211805555556,1.2,12.4,1.2,12.4,1.2,12.4
"63",136.215277777778,1.3,14.6,1.3,14.6,1.3,14.6
"64",136.21875,1.1,12.8,1.1,12.8,1.1,12.8
"65",136.222222222222,1.2,14.6,1.2,14.6,1.2,14.6
"66",136.225694444444,1.3,12.3,1.3,12.3,1.3,12.3
"67",136.229166666667,1.3,15,1.3,15,1.3,15
"68",136.232638888889,1.2,12.3,1.2,12.3,1.2,12.3
"69",136.236111111111,1.1,12.6,1.1,12.6,1.1,12.6
"70",136.239583333333,1.3,14.4,1.3,14.4,1.3,14.4
"71",136.243055555556,1.4,13.3,1.4,13.3,1.4,13.3
"72",136.246527777778,1.2,14.7,1.2,14.7,1.2,14.7
"73",136.25,1.3,24.8,1.3,24.8,1.3,24.8
"74",136.253472222222,1.3,15.5,1.3,15.5,1.3,15.5
"75",136.256944444444,1.5,16.3,1.5,16.3,1.5,16.3
"76",136.260416666667,1.3,14.6,1.3,14.6,1.3,14.6
"77",136.263888888889,1.2,11.3,1.2,11.3,1.2,11.3
"78",136.267361111111,1.3,13.8,1.3,13.8,1.3,13.8
"79",136.270833333333,1.2,13.2,1.2,13.2,1.2,13.2
"80",136.274305555556,1.4,14.3,1.4,14.3,1.4,14.3
"81",136.277777777778,1.4,14.7,1.4,14.7,1.4,14.7
"82",136.28125,1.4,15.2,1.4,15.2,1.4,15.2
"83",136.284722222222,1.5,15.2,1.5,15.2,1.5,15.2
"84",136.288194444444,1.5,15.2,1.5,15.2,1.5,15.2
"85",136.291666666667,1.6,15.9,1.6,15.9,1.6,15.9
"86",136.295138888889,1.8,14.8,1.8,14.8,1.8,14.8
"87",136.298611111111,2,16.9,2,16.9,2,16.9
"88",136.302083333333,2.4,18.3,2.4,18.3,2.4,18.3
"89",136.305555555556,2,17.6,2,17.6,2,17.6
"90",136.309027777778,1.8,18.9,1.8,18.9,1.8,18.9
"91",136.3125,2.2,17,2.2,17,2.2,17
"92",136.315972222222,1.8,19.1,1.8,19.1,1.8,19.1
"93",136.319444444444,1.6,19.2,1.6,19.2,1.6,19.2
"94",136.322916666667,2.6,20.4,2.6,20.4,2.6,20.4
"95",136.326388888889,2.1,23.6,2.1,23.6,2.1,23.6
"96",136.329861111111,1.6,18.9,1.6,18.9,1.6,18.9
"97",136.333333333333,1.6,17.6,1.6,17.6,1.6,17.6
"98",136.336805555556,1.6,18.9,1.6,18.9,1.6,18.9
"99",136.340277777778,1.7,15.7,1.7,15.7,1.7,15.7
"100",136.34375,1.3,15.6,1.3,15.6,1.3,15.6
"101",136.347222222222,1.6,14.2,1.6,14.2,1.6,14.2
"102",136.350694444444,1.4,12.1,1.4,12.1,1.4,12.1
"103",136.354166666667,1.3,13.3,1.3,13.3,1.3,13.3
"104",136.357638888889,1.4,13.5,1.4,13.5,1.4,13.5
"105",136.361111111111,1.5,8.7,1.5,8.7,1.5,8.7
"106",136.364583333333,1.2,10.5,1.2,10.5,1.2,10.5
"107",136.368055555556,1.2,12.3,1.2,12.3,1.2,12.3
"108",136.371527777778,1.2,15.5,1.2,15.5,1.2,15.5
"109",136.375,1.3,16.4,1.3,16.4,1.3,16.4
"110",136.378472222222,1.3,11.2,1.3,11.2,1.3,11.2
"111",136.381944444444,1.2,15,1.2,15,1.2,15
"112",136.385416666667,1.3,15.9,1.3,15.9,1.3,15.9
"113",136.388888888889,1.2,9.8,1.2,9.8,1.2,9.8
"114",136.392361111111,1.4,15,1.4,15,1.4,15
"115",136.395833333333,1.4,14.1,1.4,14.1,1.4,14.1
"116",136.399305555556,1.5,13.6,1.5,13.6,1.5,13.6
"117",136.402777777778,1.5,14.7,1.5,14.7,1.5,14.7
"118",136.40625,1.4,14,1.4,14,1.4,14
"119",136.409722222222,1.3,13.5,1.3,13.5,1.3,13.5
"120",136.413194444444,1.2,11.3,1.2,11.3,1.2,11.3
"121",136.416666666667,1.3,12.3,1.3,12.3,1.3,12.3
"122",136.420138888889,1.1,10.7,1.1,10.7,1.1,10.7
"123",136.423611111111,1.1,9.1,1.1,9.1,1.1,9.1
"124",136.427083333333,1.2,11.5,1.2,11.5,1.2,11.5
"125",136.430555555556,1.4,11.5,1.4,11.5,1.4,11.5
"126",136.434027777778,1.2,12.3,1.2,12.3,1.2,12.3
"127",136.4375,1.3,13.8,1.3,13.8,1.3,13.8
"128",136.440972222222,1.3,9.2,1.3,9.2,1.3,9.2
"129",136.444444444444,1,12,1,12,1,12
"130",136.447916666667,1.5,14.3,1.5,14.3,1.5,14.3
"131",136.451388888889,1.3,13.4,1.3,13.4,1.3,13.4
"132",136.454861111111,1.3,15,1.3,15,1.3,15
"133",136.458333333333,1.5,13.9,1.5,13.9,1.5,13.9
"134",136.461805555556,1.4,15.4,1.4,15.4,1.4,15.4
"135",136.465277777778,1.5,13.9,1.5,13.9,1.5,13.9
"136",136.46875,1.3,13.5,1.3,13.5,1.3,13.5
"137",136.472222222222,1.5,12.1,1.5,12.1,1.5,12.1
"138",136.475694444444,1.5,15.6,1.5,15.6,1.5,15.6
"139",136.479166666667,1.4,12.8,1.4,12.8,1.4,12.8
"140",136.482638888889,1.5,13.8,1.5,13.8,1.5,13.8
"141",136.486111111111,1.1,12.6,1.1,12.6,1.1,12.6
"142",136.489583333333,1.3,14.6,1.3,14.6,1.3,14.6
"143",136.493055555556,1.4,14,1.4,14,1.4,14
"144",136.496527777778,1.5,13.5,1.5,13.5,1.5,13.5
"145",136.5,1.6,14.3,1.6,14.3,1.6,14.3
"146",136.503472222222,1.5,14.4,1.5,14.4,1.5,14.4
"147",136.506944444444,1.5,15.3,1.5,15.3,1.5,15.3
"148",136.510416666667,1.5,16.2,1.5,16.2,1.5,16.2
"149",136.513888888889,1.5,14.8,1.5,14.8,1.5,14.8
"150",136.517361111111,1.4,15.5,1.4,15.5,1.4,15.5
"151",136.520833333333,1.6,13.1,1.6,13.1,1.6,13.1
