"","DOY","obs1","obs2","ysi_p","hylb_p","ysi_m","hylb_m"
"1",137,1,NA,1,14.5883965168944,1,13.9669545520922
"2",137.003472222222,0.9,15,0.9,15,0.9,15
"3",137.006944444444,1,11,1,11,1,11
"4",137.010416666667,1,NA,1,12.925459936309,1,13.9173964495475
"5",137.013888888889,1.1,14.8,1.1,14.8,1.1,14.8
"6",137.017361111111,1,NA,1,13.7650393934228,1,14.2640535922904
"7",137.020833333333,1,18.2,1,18.2,1,18.2
"8",137.024305555556,0.8,11.8,0.8,11.8,0.8,11.8
"9",137.027777777778,1.2,NA,1.2,14.0468713666514,1.2,13.7796396441806
"10",137.03125,0.8,12.2,0.8,12.2,0.8,12.2
"11",137.034722222222,0.9,13.8,0.9,13.8,0.9,13.8
"12",137.038194444444,1,NA,1,13.4059538811237,1,13.8700072483542
"13",137.041666666667,0.9,13.5,0.9,13.5,0.9,13.5
"14",137.045138888889,1.1,14.9,1.1,14.9,1.1,14.9
"15",137.048611111111,0.9,NA,0.9,13.9042475858195,0.9,14.2537857510467
"16",137.052083333333,1,15.6,1,15.6,1,15.6
"17",137.055555555556,0.9,15.9,0.9,15.9,0.9,15.9
"18",137.059027777778,0.9,12.6,0.9,12.6,0.9,12.6
"19",137.0625,1,15.9,1,15.9,1,15.9
"20",137.065972222222,0.9,11.3,0.9,11.3,0.9,11.3
"21",137.069444444444,0.9,NA,0.9,13.4851576474282,0.9,12.9997170455034
"22",137.072916666667,0.9,11.7,0.9,11.7,0.9,11.7
"23",137.076388888889,0.9,NA,0.9,12.7519288335078,0.9,12.7791386295812
"24",137.079861111111,1,12.2,1,12.2,1,12.2
"25",137.083333333333,1,NA,1,12.5351691872535,1,12.827270710133
"26",137.086805555556,0.9,12.8,0.9,12.8,0.9,12.8
"27",137.090277777778,0.9,14,0.9,14,0.9,14
"28",137.09375,1.1,NA,1.1,13.0357063509889,1.1,12.9152155129215
"29",137.097222222222,1,11.4,1,11.4,1,11.4
"30",137.100694444444,1,NA,1,12.4982070074977,1,13.0119544807497
"31",137.104166666667,1.1,13.6,1.1,13.6,1.1,13.6
"32",137.107638888889,0.9,NA,0.9,13.0048317065052,0.9,13.2824761985611
"33",137.111111111111,1,14.1,1,14.1,1,14.1
"34",137.114583333333,1,13.6,1,13.6,1,13.6
"35",137.118055555556,1,NA,1,13.4493793040152,1,13.3130301874775
"36",137.121527777778,1,13.3,1,13.3,1,13.3
