"doy","thermocline","depth","lake","year"
147,"ZT1a",0.779411764705882,"L",2014
147,"ZT1b",3.75,"L",2014
147,"ZT2",1.25,"L",2014
154,"ZT1a",1.35227272727273,"L",2014
154,"ZT1b",4.32142857142857,"L",2014
154,"ZT2",1.75,"L",2014
161,"ZT1a",1.79166666666667,"L",2014
161,"ZT1b",4.41666666666667,"L",2014
161,"ZT2",2.25,"L",2014
168,"ZT1a",1.58333333333333,"L",2014
168,"ZT1b",4.75,"L",2014
168,"ZT2",2.75,"L",2014
175,"ZT1a",1.125,"L",2014
175,"ZT1b",5.05,"L",2014
175,"ZT2",2.75,"L",2014
182,"ZT1a",1.80263157894737,"L",2014
182,"ZT1b",5.41666666666667,"L",2014
182,"ZT2",2.75,"L",2014
189,"ZT1a",2.01470588235294,"L",2014
189,"ZT1b",5.10714285714286,"L",2014
189,"ZT2",3.25,"L",2014
196,"ZT1a",2.796875,"L",2014
196,"ZT1b",5.75,"L",2014
196,"ZT2",3.25,"L",2014
203,"ZT1a",1.05,"L",2014
203,"ZT1b",5.91666666666667,"L",2014
203,"ZT2",3.75,"L",2014
210,"ZT1a",2.85344827586207,"L",2014
210,"ZT1b",5.83333333333333,"L",2014
210,"ZT2",3.25,"L",2014
217,"ZT1a",2.61363636363636,"L",2014
217,"ZT1b",6.75,"L",2014
217,"ZT2",3.75,"L",2014
224,"ZT1a",2.95,"L",2014
224,"ZT1b",6,"L",2014
224,"ZT2",3.75,"L",2014
231,"ZT1a",3.27808988764045,"L",2014
231,"ZT1b",6.15,"L",2014
231,"ZT2",3.75,"L",2014
238,"ZT1a",3.27631578947368,"L",2014
238,"ZT1b",6.5,"L",2014
238,"ZT2",4.25,"L",2014
139,"ZT1a",0.9375,"R",2014
139,"ZT1b",3,"R",2014
139,"ZT2",2.25,"R",2014
146,"ZT1a",0.25,"R",2014
146,"ZT1b",3.19444444444444,"R",2014
146,"ZT2",1.25,"R",2014
153,"ZT1a",0.911290322580645,"R",2014
153,"ZT1b",3.85,"R",2014
153,"ZT2",1.75,"R",2014
160,"ZT1a",1.375,"R",2014
160,"ZT1b",4.25,"R",2014
160,"ZT2",2.25,"R",2014
167,"ZT1a",0,"R",2014
167,"ZT1b",0,"R",2014
167,"ZT2",NA,"R",2014
174,"ZT1a",1.26020408163265,"R",2014
174,"ZT1b",4.25,"R",2014
174,"ZT2",1.75,"R",2014
181,"ZT1a",1.3804347826087,"R",2014
181,"ZT1b",4.60714285714286,"R",2014
181,"ZT2",2.25,"R",2014
188,"ZT1a",1.60714285714286,"R",2014
188,"ZT1b",4.89285714285714,"R",2014
188,"ZT2",2.75,"R",2014
195,"ZT1a",1.88461538461538,"R",2014
195,"ZT1b",4.85,"R",2014
195,"ZT2",2.75,"R",2014
202,"ZT1a",1.52777777777778,"R",2014
202,"ZT1b",4.83333333333333,"R",2014
202,"ZT2",2.75,"R",2014
209,"ZT1a",1.82758620689655,"R",2014
209,"ZT1b",4.91666666666667,"R",2014
209,"ZT2",2.25,"R",2014
216,"ZT1a",1.65,"R",2014
216,"ZT1b",5.15,"R",2014
216,"ZT2",2.75,"R",2014
223,"ZT1a",1.70833333333333,"R",2014
223,"ZT1b",5.125,"R",2014
223,"ZT2",2.75,"R",2014
230,"ZT1a",2.34615384615385,"R",2014
230,"ZT1b",5.1875,"R",2014
230,"ZT2",3.25,"R",2014
237,"ZT1a",2.28571428571429,"R",2014
237,"ZT1b",5.11666666666667,"R",2014
237,"ZT2",3.75,"R",2014
141,"ZT1a",0.840909090909091,"T",2014
141,"ZT1b",2.69444444444444,"T",2014
141,"ZT2",1.75,"T",2014
148,"ZT1a",0.386363636363637,"T",2014
148,"ZT1b",2.89285714285714,"T",2014
148,"ZT2",1.25,"T",2014
155,"ZT1a",0.821428571428571,"T",2014
155,"ZT1b",3.125,"T",2014
155,"ZT2",1.75,"T",2014
162,"ZT1a",0.783333333333334,"T",2014
162,"ZT1b",3.21428571428571,"T",2014
162,"ZT2",1.75,"T",2014
169,"ZT1a",0.435185185185185,"T",2014
169,"ZT1b",3.4375,"T",2014
169,"ZT2",2.25,"T",2014
176,"ZT1a",0.95,"T",2014
176,"ZT1b",3.67307692307692,"T",2014
176,"ZT2",1.75,"T",2014
183,"ZT1a",1.33823529411765,"T",2014
183,"ZT1b",3.67857142857143,"T",2014
183,"ZT2",1.75,"T",2014
190,"ZT1a",1.42857142857143,"T",2014
190,"ZT1b",4,"T",2014
