"DOY","Ztherm","Lake","Year","DOC","kPAR","cumulative.load","daily.load","Manual_Chl"
218,3.75,"L",2013,4.062428571,0.848048744962603,20.7,0.3,3.329183837
219,NA,"L",2013,4.03485714242857,0.85286736893379,21,0.3,4.72668499
220,NA,"L",2013,4.00728571385714,0.857685992904978,21.3,0.3,2.302875076
221,NA,"L",2013,3.97971428528571,0.862504616876165,21.6,0.3,2.217789806
222,NA,"L",2013,3.95214285671429,0.867323240847353,21.9,0.3,2.063992865
223,NA,"L",2013,3.92457142814286,0.87214186481854,22.2,0.3,1.647299098
224,NA,"L",2013,3.89699999957143,0.876960488789728,22.5,0.3,1.130410388
225,3.25,"L",2013,3.869428571,0.881779112760915,22.8,0.3,1.670222139
226,NA,"L",2013,3.87099999957143,0.878135518593551,23.1,0.3,1.979999167
227,NA,"L",2013,3.87257142814286,0.874491924426187,23.4,0.3,1.795006209
228,NA,"L",2013,3.87414285671429,0.870848330258823,23.7,0.3,1.385608749
229,NA,"L",2013,3.87571428528571,0.867204736091458,24,0.3,1.015220673
230,NA,"L",2013,3.87728571385714,0.863561141924094,24.3,0.3,1.603521262
231,NA,"L",2013,3.87885714242857,0.85991754775673,24.6,0.3,1.939553502
232,3.75,"L",2013,3.880428571,0.856273953589366,24.9,0.3,1.256630739
233,NA,"L",2013,3.87728571385714,0.84735438200021,25.2,0.3,1.532224286
234,NA,"L",2013,3.87414285671429,0.838434810411053,25.5,0.3,1.437314855
235,NA,"L",2013,3.87099999957143,0.829515238821897,25.8,0.3,1.28983755
236,NA,"L",2013,3.86785714242857,0.82059566723274,26.1,0.3,1.429731293
237,NA,"L",2013,3.86471428528571,0.811676095643584,26.4,0.3,1.412898083
238,NA,"L",2013,3.86157142814286,0.802756524054427,26.7,0.3,2.731633601
239,4.25,"L",2013,3.858428571,0.793836952465271,27,0.3,2.289144233
240,NA,"L",2013,3.858428571,0.793836952465271,27.3,0.3,0.895262507
241,NA,"L",2013,3.858428571,0.793836952465271,27.6,0.3,2.234680467
242,NA,"L",2013,3.858428571,0.793836952465271,27.9,0.3,2.98723412
243,NA,"L",2013,3.858428571,0.793836952465271,28.2,0.3,1.923352255
244,NA,"L",2013,3.858428571,0.793836952465271,28.5,0.3,2.789372086
245,NA,"L",2013,3.858428571,0.793836952465271,28.8,0.3,2.789372086
150,NA,"L",2014,3.168,0.685295806600018,0.3,0.3,1.420108212
151,NA,"L",2014,3.158,0.707884903469491,0.6,0.3,1.066093737
152,NA,"L",2014,3.148,0.730474000338964,0.9,0.3,1.578242721
153,NA,"L",2014,3.138,0.753063097208437,1.2,0.3,2.156575521
154,1.75,"L",2014,3.128,0.77565219407791,1.5,0.3,1.922605389
155,NA,"L",2014,3.22657142857143,0.77113445833863,1.8,0.3,1.78360214
156,NA,"L",2014,3.32514285714286,0.766616722599349,2.1,0.3,1.081347038
157,NA,"L",2014,3.42371428571429,0.762098986860069,2.4,0.3,1.967934409
158,NA,"L",2014,3.52228571428571,0.757581251120788,2.7,0.3,1.727328661
159,NA,"L",2014,3.62085714285714,0.753063515381508,3,0.3,1.84504623
160,NA,"L",2014,3.71942857142857,0.748545779642227,3.3,0.3,1.889858189
161,2.25,"L",2014,3.818,0.744028043902947,3.6,0.3,1.859265409
162,NA,"L",2014,3.93942857142857,0.744338348020466,3.9,0.3,1.33961904
163,NA,"L",2014,4.06085714285714,0.744648652137984,4.2,0.3,1.809972254
164,NA,"L",2014,4.18228571428571,0.744958956255503,4.5,0.3,2.163038784
165,NA,"L",2014,4.30371428571429,0.745269260373022,4.8,0.3,2.244820609
166,NA,"L",2014,4.42514285714286,0.745579564490541,5.1,0.3,2.006369282
167,NA,"L",2014,4.54657142857143,0.745889868608059,5.4,0.3,2.084617856
168,2.75,"L",2014,4.668,0.746200172725578,5.7,0.3,1.500338854
169,NA,"L",2014,4.51371428571429,0.746862425440406,6,0.3,1.649941855
170,NA,"L",2014,4.35942857142857,0.747524678155234,6.3,0.3,1.947941382
171,NA,"L",2014,4.20514285714286,0.748186930870062,6.6,0.3,1.933549849
172,NA,"L",2014,4.05085714285714,0.74884918358489,6.9,0.3,2.130636291
173,NA,"L",2014,3.89657142857143,0.749511436299718,7.2,0.3,1.570486805
174,NA,"L",2014,3.74228571428571,0.750173689014546,7.5,0.3,2.089012875
