"year","lake","DOY","Manual_Chl"
2013,"L",144,3.745475445
2013,"L",145,NA
2013,"L",146,NA
2013,"L",147,1.751687982
2013,"L",148,2.141552024
2013,"L",149,11.98771606
2013,"L",150,1.946677454
2013,"L",151,1.208716414
2013,"L",152,1.510794978
2013,"L",153,6.319233067
2013,"L",154,1.810977651
2013,"L",155,2.302472918
2013,"L",156,3.405881228
2013,"L",157,3.096563809
2013,"L",158,3.105238945
2013,"L",159,1.801555649
2013,"L",160,3.330217959
2013,"L",161,2.457935944
2013,"L",162,1.77403651
2013,"L",163,2.163613296
2013,"L",164,2.03572686
2013,"L",165,1.618918191
2013,"L",166,2.953912407
2013,"L",167,2.158385235
2013,"L",168,2.662404869
2013,"L",169,1.942081356
2013,"L",170,2.033658616
2013,"L",171,1.586688052
2013,"L",172,2.871125186
2013,"L",173,2.449375711
2013,"L",174,1.73244182
2013,"L",175,1.787652452
2013,"L",176,2.285122646
2013,"L",177,1.260020362
2013,"L",178,1.630982949
2013,"L",179,2.282077731
2013,"L",180,2.354753536
2013,"L",181,1.67682903
2013,"L",182,1.717274696
2013,"L",183,2.35211078
2013,"L",184,1.753095537
2013,"L",185,1.716929988
2013,"L",186,2.476205435
2013,"L",187,2.03480764
2013,"L",188,2.29649799
2013,"L",189,2.363083965
2013,"L",190,2.986717059
2013,"L",191,2.938860185
2013,"L",192,1.909391607
2013,"L",193,1.710035841
2013,"L",194,1.446219796
2013,"L",195,2.195268924
2013,"L",196,1.72169844
2013,"L",197,1.453286297
2013,"L",198,1.673152152
2013,"L",199,2.182055141
2013,"L",200,2.704516621
2013,"L",201,2.798162124
2013,"L",202,2.690038911
2013,"L",203,2.726175734
2013,"L",204,3.62046157
2013,"L",205,2.389281725
2013,"L",206,2.540263556
2013,"L",207,3.432366245
2013,"L",208,3.834122692
2013,"L",209,4.076854135
2013,"L",210,3.046523789
2013,"L",211,4.056458949
2013,"L",212,4.185724215
2013,"L",213,1.96046575
2013,"L",214,2.567840146
2013,"L",215,1.913585546
2013,"L",216,1.54831063
2013,"L",217,3.287014635
2013,"L",218,3.329183837
2013,"L",219,4.72668499
2013,"L",220,2.302875076
2013,"L",221,2.217789806
2013,"L",222,2.063992865
2013,"L",223,1.647299098
2013,"L",224,1.130410388
2013,"L",225,1.670222139
2013,"L",226,1.979999167
2013,"L",227,1.795006209
2013,"L",228,1.385608749
2013,"L",229,1.015220673
2013,"L",230,1.603521262
2013,"L",231,1.939553502
2013,"L",232,1.256630739
2013,"L",233,1.532224286
2013,"L",234,1.437314855
2013,"L",235,1.28983755
2013,"L",236,1.429731293
2013,"L",237,1.412898083
2013,"L",238,2.731633601
2013,"L",239,2.289144233
2013,"L",240,0.895262507
2013,"L",241,2.234680467
2013,"L",242,2.98723412
2013,"L",243,1.923352255
2013,"L",244,2.789372086
2013,"R",144,6.159116491
2013,"R",145,NA
2013,"R",146,NA
2013,"R",147,3.783278354
2013,"R",148,4.210543146
2013,"R",149,3.934892148
2013,"R",150,3.796434685
2013,"R",151,3.505616562
2013,"R",152,5.410756778
2013,"R",153,4.752423141
2013,"R",154,5.898230459
2013,"R",155,3.920414438
2013,"R",156,5.303552784
2013,"R",157,3.943452381
2013,"R",158,3.844980974
2013,"R",159,4.518079577
2013,"R",160,4.036638275
2013,"R",161,3.666824712
2013,"R",162,3.998605561
2013,"R",163,3.197333266
2013,"R",164,2.519523662
2013,"R",165,2.097084773
2013,"R",166,2.521994065
2013,"R",167,1.77731123
2013,"R",168,1.339647765
2013,"R",169,1.401695093
2013,"R",170,2.056524205
2013,"R",171,2.314365322
2013,"R",172,3.001539476
2013,"R",173,2.637126329
2013,"R",174,2.333554033
2013,"R",175,2.186134178
2013,"R",176,2.385547395
2013,"R",177,2.663209187
2013,"R",178,2.797759966
2013,"R",179,4.010785222
2013,"R",180,4.278048341
2013,"R",181,3.293966233
2013,"R",182,3.876521699
2013,"R",183,3.617818813
2013,"R",184,3.434549392
2013,"R",185,2.986487254
2013,"R",186,2.696760705
2013,"R",187,2.446330796
2013,"R",188,1.986261351
2013,"R",189,3.519289955
2013,"R",190,3.127989632
2013,"R",191,4.570762354
2013,"R",192,4.140912256
2013,"R",193,4.048243423
2013,"R",194,4.420240133
2013,"R",195,3.433285465
2013,"R",196,2.681651031
2013,"R",197,3.499469281
2013,"R",198,2.892554494
2013,"R",199,3.301894503
2013,"R",200,3.640052439
2013,"R",201,2.828438922
2013,"R",202,3.402951215
2013,"R",203,3.231746552
2013,"R",204,3.734100101
2013,"R",205,3.229276149
2013,"R",206,3.900651215
2013,"R",207,4.102477384
2013,"R",208,5.148606819
2013,"R",209,5.378067028
2013,"R",210,4.284770134
2013,"R",211,9.77159234
2013,"R",212,2.698369339
2013,"R",213,4.73926681
2013,"R",214,5.026925115
2013,"R",215,5.092821675
2013,"R",216,3.504065379
2013,"R",217,9.541844874
2013,"R",218,6.773442486
2013,"R",219,8.98973856
2013,"R",220,5.423396048
2013,"R",221,4.866348929
2013,"R",222,3.016649149
2013,"R",223,5.600460737
2013,"R",224,3.382900736
2013,"R",225,3.159645259
2013,"R",226,2.541814739
