"Year","Lake","DoY","Chl_HYLB","Chl_logged_HYLB"
2013,"L",137,2.990097347,0.60098349136324
2013,"L",137.0034722,3.040204828,0.606403383282682
2013,"L",137.0069444,3.08893862,0.611610591308707
2013,"L",137.0104167,3.136360922,0.616618426506164
2013,"L",137.0138889,3.182592288,0.621445532354567
2013,"L",137.0173611,3.227821532,0.62611664625519
2013,"L",137.0208333,3.271939939,0.630625138134676
2013,"L",137.0243056,3.314820989,0.634962782646323
2013,"L",137.0277778,3.356478999,0.639135624799476
2013,"L",137.03125,3.396953539,0.643151876612991
2013,"L",137.0347222,3.436326233,0.647023475254895
2013,"L",137.0381944,3.474536134,0.650748019565681
2013,"L",137.0416667,3.511671933,0.654337512325505
2013,"L",137.0451389,3.54778806,0.657800217115691
2013,"L",137.0486111,3.582977104,0.661147687567436
2013,"L",137.0520833,3.617120057,0.664371167471808
2013,"L",137.0555556,3.650258501,0.667477095349625
2013,"L",137.0590278,3.682496761,0.670477485635035
2013,"L",137.0625,3.713834968,0.673374373745888
2013,"L",137.0659722,3.74427748,0.676170081812504
2013,"L",137.0694444,3.773963999,0.678879139619501
2013,"L",137.0729167,3.802724447,0.681487670007621
2013,"L",137.0763889,3.83086658,0.68402504320585
2013,"L",137.0798611,3.858223003,0.686477445987746
2013,"L",137.0833333,3.885037616,0.688867912242782
2013,"L",137.0868056,3.910894503,0.691160604614789
2013,"L",137.0902778,3.935817696,0.693359110692255
2013,"L",137.09375,3.960184328,0.695497815834109
2013,"L",137.0972222,3.983773233,0.697558273238332
2013,"L",137.1006944,4.006763339,0.699557063538819
2013,"L",137.1041667,4.029104317,0.701490644137054
2013,"L",137.1076389,4.050737763,0.703354820296439
2013,"L",137.1111111,4.071620812,0.705146775352362
2013,"L",137.1145833,4.092096624,0.706896635922679
2013,"L",137.1180556,4.111980583,0.7085891955588
2013,"L",137.1215278,4.131368539,0.710233207153204
2013,"L",137.125,4.150427141,0.711843247931837
2013,"L",137.1284722,4.169005242,0.71340697259534
2013,"L",137.1319444,4.187181232,0.714931421828665
2013,"L",137.1354167,4.204909867,0.71641321326952
2013,"L",137.1388889,4.222156905,0.717849916501089
2013,"L",137.1423611,4.238963163,0.71924534478082
2013,"L",137.1458333,4.255363541,0.720602763825592
2013,"L",137.1493056,4.271322011,0.721919546916696
2013,"L",137.1527778,4.286899694,0.723201070806938
2013,"L",137.15625,4.301927473,0.724433782565063
2013,"L",137.1597222,4.316469646,0.725623338647119
2013,"L",137.1631944,4.330711163,0.726785151533853
2013,"L",137.1666667,4.344602573,0.727915416416599
2013,"L",137.1701389,4.358104025,0.729011140971505
2013,"L",137.1736111,4.371359297,0.730084203852965
2013,"L",137.1770833,4.384328902,0.731131580926339
2013,"L",137.1805556,4.397002257,0.732152599685084
2013,"L",137.1840278,4.409436161,0.733151999870385
2013,"L",137.1875,4.421433473,0.734114132867341
2013,"L",137.1909722,4.433187859,0.73505472154699
2013,"L",137.1944444,4.444480141,0.735956418036056
2013,"L",137.1979167,4.455398115,0.736826449303597
2013,"L",137.2013889,4.466231537,0.737688023461981
2013,"L",137.2048611,4.47683725,0.738529835601579
2013,"L",137.2083333,4.487055497,0.739339352745556
2013,"L",137.2118056,4.497022442,0.740127510008639
2013,"L",137.2152778,4.506561843,0.740880521054052
2013,"L",137.21875,4.515665419,0.741597913941607
2013,"L",137.2222222,4.524327908,0.742279449126074
2013,"L",137.2256944,4.53261221,0.742930230857701
2013,"L",137.2291667,4.540657458,0.743561301450488
2013,"L",137.2326389,4.548509488,0.744176333019092
2013,"L",137.2361111,4.556051514,0.744766263729046
2013,"L",137.2395833,4.563191291,0.745323993465441
2013,"L",137.2430556,4.569791126,0.74583890890326
2013,"L",137.2465278,4.576095268,0.746330185106678
2013,"L",137.25,4.58197156,0.746787619439153
2013,"L",137.2534722,4.587645751,0.747228864646385
2013,"L",137.2569444,4.59308032,0.747651056103202
2013,"L",137.2604167,4.598180731,0.748046915067801
2013,"L",137.2638889,4.60285147,0.748409109596891
2013,"L",137.2673611,4.606952631,0.7487268870808
2013,"L",137.2708333,4.610858567,0.749029321573604
2013,"L",137.2743056,4.614430556,0.749305714483841
2013,"L",137.2777778,4.617601736,0.749550946330743
2013,"L",137.28125,4.620626767,0.749784747290079
2013,"L",137.2847222,4.623467052,0.750004154945089
2013,"L",137.2881944,4.626024342,0.750201606885956
2013,"L",137.2916667,4.628482789,0.750391342424031
2013,"L",137.2951389,4.630812649,0.750571077534744
2013,"L",137.2986111,4.632966709,0.750737184549691
2013,"L",137.3020833,4.634774365,0.75087653014302
2013,"L",137.3055556,4.636406729,0.751002324711788
2013,"L",137.3090278,4.637802772,0.751109878820028
2013,"L",137.3125,4.639001294,0.751202194247334
2013,"L",137.3159722,4.639813407,0.751264735605543
2013,"L",137.3194444,4.640418085,0.751311296408691
2013,"L",137.3229167,4.640849068,0.751344479478686
2013,"L",137.3263889,4.641089401,0.751362982557039
2013,"L",137.3298611,4.640861915,0.751345468580643
2013,"L",137.3333333,4.640341587,0.751305406262948
2013,"L",137.3368056,4.639647637,0.751251970279968
2013,"L",137.3402778,4.638699808,0.751178974318908
2013,"L",137.34375,4.637522069,0.751088255005957
2013,"L",137.3472222,4.636266248,0.75099150028297
2013,"L",137.3506944,4.634768739,0.750876096524597
2013,"L",137.3541667,4.633075829,0.750745597479734
2013,"L",137.3576389,4.630984902,0.750584362896527
2013,"L",137.3611111,4.628644462,0.750403816955092
2013,"L",137.3645833,4.626132596,0.750209963348651
2013,"L",137.3680556,4.623228678,0.749985745180064
2013,"L",137.3715278,4.620067151,0.749741504738905
2013,"L",137.375,4.616671101,0.74947899336112
2013,"L",137.3784722,4.613237904,0.7492134491687
2013,"L",137.3819444,4.609466444,0.748921554402949
2013,"L",137.3854167,4.605558598,0.74861889684913
2013,"L",137.3888889,4.601239639,0.74828415357733
2013,"L",137.3923611,4.596842667,0.747943098614054
2013,"L",137.3958333,4.592329394,0.747592743886315
2013,"L",137.3993056,4.587583082,0.747223993730309
2013,"L",137.4027778,4.582798294,0.746851937113329
2013,"L",137.40625,4.577846659,0.74646657087203
2013,"L",137.4097222,4.572912593,0.746082231522831
2013,"L",137.4131944,4.567858958,0.745688225428272
2013,"L",137.4166667,4.562752685,0.745289752026505
2013,"L",137.4201389,4.557538226,0.744882458556592
2013,"L",137.4236111,4.552215502,0.744466314347573
2013,"L",137.4270833,4.547048529,0.744061965371303
2013,"L",137.4305556,4.541852212,0.743654940001122
2013,"L",137.4340278,4.536631443,0.743245614789036
2013,"L",137.4375,4.531521803,0.742844628542309
2013,"L",137.4409722,4.526477386,0.742448397256334
2013,"L",137.4444444,4.521329,0.742043626261216
2013,"L",137.4479167,4.516205327,0.74164042333475
2013,"L",137.4513889,4.511143886,0.741241749816993
2013,"L",137.4548611,4.50632899,0.740862155890074
2013,"L",137.4583333,4.501380927,0.740471717439579
2013,"L",137.4618056,4.496283156,0.740069098491199
2013,"L",137.4652778,4.491091231,0.739658659296836
2013,"L",137.46875,4.485786106,0.739238870203461
2013,"L",137.4722222,4.480354511,0.738808652862334
2013,"L",137.4756944,4.47524941,0.738403907059123
2013,"L",137.4791667,4.470042569,0.737990706115855
2013,"L",137.4826389,4.464765898,0.737571562189757
2013,"L",137.4861111,4.459468977,0.737150402489699
2013,"L",137.4895833,4.454171006,0.736728750363569
2013,"L",137.4930556,4.448932376,0.736311418123914
2013,"L",137.4965278,4.443956153,0.735914618627764
2013,"L",137.5,4.439031466,0.735521571312071
2013,"L",137.5034722,4.434188258,0.735134679719404
2013,"L",137.5069444,4.429386275,0.734750740740833
2013,"L",137.5104167,4.424749239,0.734379667564695
2013,"L",137.5138889,4.420246463,0.734019034709478
2013,"L",137.5173611,4.41578987,0.733661805590336
2013,"L",137.5208333,4.411224147,0.733295523913925
2013,"L",137.5243056,4.406692609,0.732931678987506
2013,"L",137.5277778,4.402071542,0.7325603314416
2013,"L",137.53125,4.39748453,0.732191406254946
2013,"L",137.5347222,4.39294455,0.731825954915861
2013,"L",137.5381944,4.388550773,0.731471979302222
2013,"L",137.5416667,4.384536494,0.73114832476272
2013,"L",137.5451389,4.380801584,0.730846977818159
2013,"L",137.5486111,4.377242708,0.730559639297698
2013,"L",137.5520833,4.373974664,0.730295614588603
2013,"L",137.5555556,4.370957218,0.730051693045669
2013,"L",137.5590278,4.368092016,0.72981995159062
2013,"L",137.5625,4.365410646,0.729602966649947
2013,"L",137.5659722,4.362718985,0.729385039838062
2013,"L",137.5694444,4.360257987,0.729185692609595
2013,"L",137.5729167,4.357824662,0.728988496959414
2013,"L",137.5763889,4.355651519,0.728812310629172
2013,"L",137.5798611,4.353659471,0.728650743659108
2013,"L",137.5833333,4.352090962,0.728523485918018
2013,"L",137.5868056,4.350851835,0.728422925533629
2013,"L",137.5902778,4.349864347,0.728342770040619
2013,"L",137.59375,4.348954873,0.728268933941053
2013,"L",137.5972222,4.34815964,0.728204362265402
2013,"L",137.6006944,4.347485103,0.728149583389632
2013,"L",137.6041667,4.347023375,0.728112082662399
2013,"L",137.6076389,4.346516742,0.728070931104728
2013,"L",137.6111111,4.346351034,0.728057470530536
2013,"L",137.6145833,4.346283201,0.728051960289197
2013,"L",137.6180556,4.346423717,0.728063374671709
2013,"L",137.6215278,4.346946654,0.728105851205446
2013,"L",137.625,4.347856801,0.728179769687901
2013,"L",137.6284722,4.348935984,0.728267400295107
2013,"L",137.6319444,4.350405074,0.728386663281672
2013,"L",137.6354167,4.351870217,0.728505573234327
2013,"L",137.6388889,4.353216525,0.728614809927595
2013,"L",137.6423611,4.354466335,0.728716192382789
2013,"L",137.6458333,4.355553955,0.728804399006725
2013,"L",137.6493056,4.356474626,0.72887905196959
2013,"L",137.6527778,4.357667589,0.728975764751586
2013,"L",137.65625,4.358892352,0.729075033139535
2013,"L",137.6597222,4.360331046,0.729191611896391
2013,"L",137.6631944,4.361888662,0.729317791746628
2013,"L",137.6666667,4.363621858,0.729458151958668
2013,"L",137.6701389,4.365444961,0.729605744213208
2013,"L",137.6736111,4.367334144,0.729758633181228
2013,"L",137.6770833,4.369359004,0.729922442563303
2013,"L",137.6805556,4.371531384,0.730098117507443
2013,"L",137.6840278,4.373750144,0.730277469762822
2013,"L",137.6875,4.376219135,0.730476962274511
2013,"L",137.6909722,4.37903378,0.730704271632939
2013,"L",137.6944444,4.382135782,0.730954650066437
2013,"L",137.6979167,4.385365807,0.73121520857472
2013,"L",137.7013889,4.389034125,0.731510933689229
2013,"L",137.7048611,4.392793285,0.731813773356135
2013,"L",137.7083333,4.396781141,0.732134806209871
2013,"L",137.7118056,4.401085201,0.732481028240701
2013,"L",137.7152778,4.405466537,0.73283318315534
2013,"L",137.71875,4.409777396,0.733179394925821
2013,"L",137.7222222,4.414229782,0.733536683450923
2013,"L",137.7256944,4.418883423,0.733909808090744
2013,"L",137.7291667,4.423675291,0.734293680942309
2013,"L",137.7326389,4.42853215,0.734682414242032
2013,"L",137.7361111,4.433504888,0.735080062089609
2013,"L",137.7395833,4.43856778,0.735484545445112
2013,"L",137.7430556,4.443699475,0.735894141521791
2013,"L",137.7465278,4.448948006,0.736312663874925
2013,"L",137.75,4.454394719,0.73674656339672
2013,"L",137.7534722,4.459861349,0.737181614109723
2013,"L",137.7569444,4.465445728,0.737625586105874
2013,"L",137.7604167,4.47104895,0.73807060046926
2013,"L",137.7638889,4.476788103,0.738525938394908
2013,"L",137.7673611,4.482645064,0.738990131395846
2013,"L",137.7708333,4.488580994,0.739460077394931
2013,"L",137.7743056,4.494650507,0.739940073882637
2013,"L",137.7777778,4.500873061,0.740431623218569
2013,"L",137.78125,4.507041926,0.740918382847932
2013,"L",137.7847222,4.513297523,0.741411429647893
2013,"L",137.7881944,4.519640487,0.741910791570368
2013,"L",137.7916667,4.526201115,0.742426686144258
2013,"L",137.7951389,4.532685779,0.742936005778679
2013,"L",137.7986111,4.539231888,0.743449546329358
2013,"L",137.8020833,4.545750873,0.74396035624229
2013,"L",137.8055556,4.551973063,0.744447350346864
