"Year","Lake","DoY","Chl_HYLB","Chl_logged_HYLB"
2015,"T",129,9.8,1.03342375548695
2015,"T",129.003472222222,10.3,1.05307844348342
2015,"T",129.006944444444,10.5,1.06069784035361
2015,"T",129.010416666667,11.2,1.08635983067475
2015,"T",129.013888888889,11,1.07918124604762
2015,"T",129.017361111111,8.6,0.982271233039568
2015,"T",129.020833333333,9.8,1.03342375548695
2015,"T",129.024305555556,10.3,1.05307844348342
2015,"T",129.027777777778,10.6,1.06445798922692
2015,"T",129.03125,10.7,1.06818586174616
2015,"T",129.034722222222,9.8,1.03342375548695
2015,"T",129.038194444444,10.1,1.04532297878666
2015,"T",129.041666666667,9.5,1.02118929906994
2015,"T",129.045138888889,10.3,1.05307844348342
2015,"T",129.048611111111,10.8,1.07188200730613
2015,"T",129.052083333333,10.4,1.05690485133647
2015,"T",129.055555555556,8.8,0.991226075692495
2015,"T",129.059027777778,10.2,1.04921802267018
2015,"T",129.0625,10.4,1.05690485133647
2015,"T",129.065972222222,10.2,1.04921802267018
2015,"T",129.069444444444,9.4,1.01703333929878
2015,"T",129.072916666667,9.3,1.01283722470517
2015,"T",129.076388888889,10.1,1.04532297878666
2015,"T",129.079861111111,10.5,1.06069784035361
2015,"T",129.083333333333,10.6,1.06445798922692
2015,"T",129.086805555556,10.2,1.04921802267018
2015,"T",129.090277777778,12.8,1.13987908640124
2015,"T",129.09375,13.1,1.14921911265538
2015,"T",129.097222222222,11.7,1.10380372095596
2015,"T",129.100694444444,9.9,1.03742649794062
2015,"T",129.104166666667,9.6,1.02530586526477
2015,"T",129.107638888889,8.7,0.986771734266245
2015,"T",129.111111111111,10.9,1.07554696139253
2015,"T",129.114583333333,10.5,1.06069784035361
2015,"T",129.118055555556,10.5,1.06069784035361
2015,"T",129.121527777778,10.2,1.04921802267018
2015,"T",129.125,9.7,1.02938377768521
2015,"T",129.128472222222,10.1,1.04532297878666
2015,"T",129.131944444444,10.1,1.04532297878666
2015,"T",129.135416666667,10.4,1.05690485133647
2015,"T",129.138888888889,12,1.11394335230684
2015,"T",129.142361111111,8.5,0.977723605288848
2015,"T",129.145833333333,8.9,0.99563519459755
2015,"T",129.149305555556,10.7,1.06818586174616
2015,"T",129.152777777778,9.5,1.02118929906994
2015,"T",129.15625,9.7,1.02938377768521
2015,"T",129.159722222222,10.2,1.04921802267018
2015,"T",129.163194444444,11.7,1.10380372095596
2015,"T",129.166666666667,10.5,1.06069784035361
2015,"T",129.170138888889,11.3,1.0899051114394
2015,"T",129.173611111111,11.4,1.09342168516224
2015,"T",129.177083333333,8.7,0.986771734266245
2015,"T",129.180555555556,10.2,1.04921802267018
2015,"T",129.184027777778,8.3,0.968482948553935
2015,"T",129.1875,11,1.07918124604762
2015,"T",129.190972222222,10.4,1.05690485133647
2015,"T",129.194444444444,9.6,1.02530586526477
2015,"T",129.197916666667,12.3,1.12385164096709
2015,"T",129.201388888889,9.5,1.02118929906994
2015,"T",129.204861111111,9,1
2015,"T",129.208333333333,10.6,1.06445798922692
2015,"T",129.211805555556,9,1
2015,"T",129.215277777778,10.5,1.06069784035361
2015,"T",129.21875,11.2,1.08635983067475
2015,"T",129.222222222222,11.6,1.10037054511756
2015,"T",129.225694444444,11.8,1.10720996964787
2015,"T",129.229166666667,10.3,1.05307844348342
2015,"T",129.232638888889,9.7,1.02938377768521
2015,"T",129.236111111111,12.1,1.11727129565576
2015,"T",129.239583333333,17.3,1.26245108973043
2015,"T",129.243055555556,11.8,1.10720996964787
2015,"T",129.246527777778,12.1,1.11727129565576
2015,"T",129.25,13.4,1.15836249209525
2015,"T",129.253472222222,12.7,1.13672056715641
2015,"T",129.256944444444,13.1,1.14921911265538
2015,"T",129.260416666667,22.7,1.3747483460101
2015,"T",129.263888888889,11.6,1.10037054511756
2015,"T",129.267361111111,15.7,1.22271647114758
